Naive,32,0.041355,0.033020,0.042463,0.413547,19.772291,0.203133,145.309448,248.260021 
Naive,64,0.047450,0.047244,0.047649,0.474500,19.942999,0.210285,204.823971,249.520779 
Naive,128,0.046600,0.046476,0.046666,0.466003,19.790173,0.216722,203.633785,242.360353 
Naive,256,0.046670,0.046526,0.046840,0.466704,19.729376,0.205517,198.755503,248.012543 
Naive,512,0.045569,0.045320,0.045707,0.455692,19.768238,0.202656,192.929029,242.787361 
Naive,1024,0.050393,0.050177,0.050871,0.503927,20.018101,0.210762,233.988047,249.708176 
Transpose,32,0.054153,0.053750,0.056639,0.541535,19.628525,0.208616,21.114349,500.579119 
Transpose,64,0.057465,0.057193,0.058645,0.574650,19.768000,0.211716,45.854807,508.810759 
Transpose,128,0.057073,0.056831,0.058623,0.570733,19.809246,0.215769,46.046734,504.658222 
Transpose,256,0.057686,0.057193,0.059283,0.576863,19.800425,0.216484,48.672199,508.170843 
Transpose,512,0.057366,0.057127,0.058704,0.573662,19.828796,0.208616,51.585436,502.036333 
Transpose,1024,0.058151,0.057967,0.059221,0.581511,19.785643,0.212193,51.444769,510.063410 
Shmem,32,0.039613,0.039471,0.040206,0.396126,19.608021,0.205040,49.880981,326.426029 
Shmem,64,0.039497,0.039193,0.041014,0.394970,19.827843,0.203133,51.739216,323.196888 
Shmem,128,0.039650,0.039421,0.040968,0.396504,19.727230,0.205994,51.475763,325.092077 
Shmem,256,0.039498,0.039171,0.040494,0.394981,19.869804,0.198841,51.153421,323.754072 
Shmem,512,0.039026,0.038824,0.040287,0.390265,19.702196,0.203371,51.226616,319.127083 
Shmem,1024,0.039607,0.039264,0.040952,0.396067,19.648552,0.220060,51.360130,324.835062 
